Metric,Value
design__instance__count,35
design__instance__area,251.491
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 35.03 45.75
design__core__bbox,5.52 10.88 29.44 32.64
design__io,8
design__die__area,1602.62
design__core__area,520.499
design__instance__count__stdcell,35
design__instance__area__stdcell,251.491
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.483173
design__instance__utilization__stdcell,0.483173
design__instance__count__class:inverter,1
design__instance__count__class:sequential_cell,4
design__instance__count__class:multi_input_combinational_cell,22
flow__warnings__count,14
flow__errors__count,0
floorplan__design__io,8
design__io__hpwl,204121
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,362.607
design__violations,0
design__instance__count__class:timing_repair_buffer,8
antenna__violating__nets,0
antenna__violating__pins,0
route__net,39
route__net__special,2
route__drc_errors__iter:1,2
route__wirelength__iter:1,418
route__drc_errors__iter:2,0
route__wirelength__iter:2,422
route__drc_errors,0
route__wirelength,422
route__vias,210
route__vias__singlecut,210
route__vias__multicut,0
