Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_48,VPWR,li1,27.8300,29.9200,1.799964
FILLER_7_40,VPWR,li1,25.7600,29.9200,1.799964
FILLER_7_32,VPWR,li1,21.1600,29.9200,1.799962
FILLER_7_27,VPWR,li1,18.1700,29.9200,1.799960
FILLER_7_18,VPWR,li1,15.1800,29.9200,1.799959
FILLER_7_6,VPWR,li1,11.0400,29.9200,1.799955
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799960
FILLER_5_19,VPWR,li1,14.7200,24.4800,1.799932
FILLER_3_3,VPWR,li1,8.2800,19.0400,1.799932
FILLER_2_45,VPWR,li1,26.4500,19.0400,1.799954
FILLER_2_37,VPWR,li1,24.3800,19.0400,1.799954
FILLER_2_26,VPWR,li1,17.9400,19.0400,1.799939
FILLER_2_3,VPWR,li1,7.1300,19.0400,1.799932
FILLER_1_43,VPWR,li1,26.6800,13.6000,1.799993
FILLER_1_35,VPWR,li1,22.0800,13.6000,1.799993
FILLER_1_6,VPWR,li1,9.2000,13.6000,1.799990
FILLER_0_47,VPWR,li1,27.6000,13.6000,1.799993
FILLER_0_35,VPWR,li1,24.3800,13.6000,1.799993
FILLER_0_29,VPWR,li1,19.5500,13.6000,1.799991
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799991
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799990
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799990
clkbuf_1_1__f_clk,VPWR,li1,23.4600,29.9200,1.799964
clkbuf_1_0__f_clk,VPWR,li1,11.5000,24.4800,1.799922
clkbuf_0_clk,VPWR,li1,18.8600,19.0400,1.799939
output7,VPWR,li1,7.5900,29.9200,1.799955
output6,VPWR,li1,27.3700,19.0400,1.799954
output5,VPWR,li1,25.9900,19.0400,1.799954
output4,VPWR,li1,27.3700,19.0400,1.799954
input3,VPWR,li1,7.5900,13.6000,1.799990
input2,VPWR,li1,7.5900,24.4800,1.799922
input1,VPWR,li1,8.9700,24.4800,1.799922
TAP_TAPCELL_ROW_7_20,VPWR,li1,18.6300,30.2260,1.799960
TAP_TAPCELL_ROW_6_19,VPWR,li1,18.6300,29.6130,1.799960
TAP_TAPCELL_ROW_4_18,VPWR,li1,18.6300,24.1730,1.799943
TAP_TAPCELL_ROW_2_17,VPWR,li1,18.6300,18.7330,1.799939
TAP_TAPCELL_ROW_0_16,VPWR,li1,18.6300,13.2930,1.799991
PHY_EDGE_ROW_7_Left_15,VPWR,li1,6.2100,29.9200,1.799955
PHY_EDGE_ROW_6_Left_14,VPWR,li1,6.2100,29.9200,1.799955
PHY_EDGE_ROW_5_Left_13,VPWR,li1,6.2100,24.4800,1.799922
PHY_EDGE_ROW_4_Left_12,VPWR,li1,6.2100,24.4800,1.799922
PHY_EDGE_ROW_3_Left_11,VPWR,li1,6.2100,19.0400,1.799932
PHY_EDGE_ROW_2_Left_10,VPWR,li1,6.2100,19.0400,1.799932
PHY_EDGE_ROW_1_Left_9,VPWR,li1,6.2100,13.6000,1.799990
PHY_EDGE_ROW_0_Left_8,VPWR,li1,6.2100,13.6000,1.799990
PHY_EDGE_ROW_7_Right_7,VPWR,li1,28.7500,29.9200,1.799964
PHY_EDGE_ROW_6_Right_6,VPWR,li1,28.7500,29.9200,1.799964
PHY_EDGE_ROW_5_Right_5,VPWR,li1,28.7500,24.4800,1.799950
PHY_EDGE_ROW_4_Right_4,VPWR,li1,28.7500,24.4800,1.799950
PHY_EDGE_ROW_3_Right_3,VPWR,li1,28.7500,19.0400,1.799954
PHY_EDGE_ROW_2_Right_2,VPWR,li1,28.7500,19.0400,1.799954
PHY_EDGE_ROW_1_Right_1,VPWR,li1,28.7500,13.6000,1.799993
PHY_EDGE_ROW_0_Right_0,VPWR,li1,28.7500,13.6000,1.799993
_49_,VPWR,li1,10.5800,29.9200,1.799955
_48_,VPWR,li1,24.3800,24.4800,1.799950
_47_,VPWR,li1,11.0400,19.0400,1.799932
_46_,VPWR,li1,24.1500,24.4800,1.799950
_45_,VPWR,li1,15.8700,29.9200,1.799959
_44_,VPWR,li1,19.0900,24.4800,1.799943
_43_,VPWR,li1,12.6500,24.4800,1.799922
_42_,VPWR,li1,17.2500,24.4800,1.799937
_41_,VPWR,li1,16.1000,19.0400,1.799937
_40_,VPWR,li1,24.3800,19.0400,1.799954
_39_,VPWR,li1,19.7800,19.0400,1.799947
_38_,VPWR,li1,20.0100,13.6000,1.799992
_37_,VPWR,li1,20.9300,13.6000,1.799992
_36_,VPWR,li1,21.6200,19.0400,1.799955
_35_,VPWR,li1,23.9200,13.6000,1.799993
_34_,VPWR,li1,12.6500,19.0400,1.799934
_33_,VPWR,li1,16.5600,24.4800,1.799937
_32_,VPWR,li1,16.3300,13.6000,1.799991
_31_,VPWR,li1,17.7100,13.6000,1.799991
_30_,VPWR,li1,14.4900,13.6000,1.799990
_29_,VPWR,li1,11.7300,13.6000,1.799990
_28_,VPWR,li1,19.7800,24.4800,1.799943
_27_,VPWR,li1,23.0000,29.9200,1.799964
_26_,VPWR,li1,17.2500,29.9200,1.799960
_25_,VPWR,li1,10.3500,19.0400,1.799932
_24_,VPWR,li1,19.5500,29.9200,1.799962
_23_,VPWR,li1,10.3500,24.4800,1.799922
