net,length_um
net4,57.35µm
net5,43.64µm
net2,28.16µm
_04_,27.08µm
net6,26.55µm
net7,21.67µm
net1,21.12µm
_07_,20.31µm
_06_,18.98µm
clk,17.59µm
clknet_0_clk,17.44µm
_00_,16.745µm
clknet_1_0__leaf_clk,16.54µm
counter[0],15.27µm
net3,14.52µm
_05_,14.4µm
clknet_1_1__leaf_clk,13.2µm
_12_,13.04µm
counter[1],11.19µm
_11_,11.18µm
counter[2],10.31µm
_10_,9.92µm
_15_,9.58µm
reset,9.51µm
_03_,9.02µm
_19_,8.32µm
net9,7.18µm
_13_,6.26µm
_14_,5.74µm
_20_,5.22µm
counter[3],5.07µm
enable,4.95µm
up_down,4.95µm
_01_,4.885µm
_02_,4.325µm
_08_,4.32µm
net8,4.24µm
_09_,3.18µm
_16_,2.76µm
_17_,2.62µm
_21_,2.18µm
_22_,2.16µm
net11,1.685µm
net10,1.38µm
_18_,1.26µm
