Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,46
design__instance__area,369.104
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00008940781117416918
power__switching__total,0.000028959106202819385
power__leakage__total,5.790931623117501E-10
power__total,0.0001183674976346083
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25071637142689973
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2507312761714269
timing__hold__ws__corner:nom_tt_025C_1v80,0.4087794662913521
timing__setup__ws__corner:nom_tt_025C_1v80,6.576661179574249
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.408779
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2511606826939207
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25117528212710744
timing__hold__ws__corner:nom_ss_100C_1v60,1.0368484142517558
timing__setup__ws__corner:nom_ss_100C_1v60,5.265196427879522
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.036848
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25049840688542574
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2505134226522585
timing__hold__ws__corner:nom_ff_n40C_1v95,0.16706531075864983
timing__setup__ws__corner:nom_ff_n40C_1v95,7.0208076894937035
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.167065
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2504642397708766
clock__skew__worst_setup,0.2504723166436092
timing__hold__ws,0.1606553546779637
timing__setup__ws,5.256115691459687
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.160655
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 35.03 45.75
design__core__bbox,5.52 10.88 29.44 32.64
design__io,10
design__die__area,1602.62
design__core__area,520.499
design__instance__count__stdcell,46
design__instance__area__stdcell,369.104
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.709135
design__instance__utilization__stdcell,0.709135
design__instance__count__class:inverter,1
design__instance__count__class:sequential_cell,4
design__instance__count__class:multi_input_combinational_cell,22
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,35
design__instance__count__class:tap_cell,5
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,8
design__io__hpwl,214530
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,518.277
design__violations,0
design__instance__count__class:timing_repair_buffer,11
design__instance__count__class:clock_buffer,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,4
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,45
route__net__special,2
route__drc_errors__iter:1,10
route__wirelength__iter:1,553
route__drc_errors__iter:2,3
route__wirelength__iter:2,555
route__drc_errors__iter:3,1
route__wirelength__iter:3,558
route__drc_errors__iter:4,0
route__wirelength__iter:4,558
route__drc_errors,0
route__wirelength,558
route__vias,248
route__vias__singlecut,248
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,57.35
timing__unannotated_net__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25066613383361463
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25067412743961803
timing__hold__ws__corner:min_tt_025C_1v80,0.39855930794911937
timing__setup__ws__corner:min_tt_025C_1v80,6.582222064817264
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.398559
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
