Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_22,VGND,li1,17.0200,32.6400,0.000032
FILLER_7_10,VGND,li1,12.8800,32.6400,0.000034
FILLER_6_40,VGND,li1,24.1500,27.2000,0.000024
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000029
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000029
FILLER_5_3,VGND,li1,7.3600,27.2000,0.000036
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000035
FILLER_4_23,VGND,li1,16.3300,21.7600,0.000036
FILLER_4_16,VGND,li1,13.1100,21.7600,0.000038
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000038
FILLER_3_3,VGND,li1,7.1300,21.7600,0.000038
FILLER_2_18,VGND,li1,14.2600,16.3200,0.000033
FILLER_1_16,VGND,li1,13.1100,16.3200,0.000034
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000034
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000006
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000006
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000006
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000006
hold4,VGND,li1,16.1000,27.2000,0.000031
hold3,VGND,li1,9.6600,27.2000,0.000036
hold2,VGND,li1,17.0200,21.7600,0.000036
hold1,VGND,li1,26.2200,27.2000,0.000020
clkbuf_1_1__f_clk,VGND,li1,23.4600,32.6400,0.000031
clkbuf_1_0__f_clk,VGND,li1,23.4600,21.7600,0.000033
clkbuf_0_clk,VGND,li1,23.4600,21.7600,0.000033
output7,VGND,li1,7.8200,32.6400,0.000035
output6,VGND,li1,25.3000,10.8800,0.000006
output5,VGND,li1,27.1400,10.8800,0.000006
output4,VGND,li1,27.1400,16.3200,0.000026
input3,VGND,li1,8.9700,16.3200,0.000034
input2,VGND,li1,9.4300,32.6400,0.000034
input1,VGND,li1,7.5900,16.3200,0.000034
TAP_TAPCELL_ROW_7_20,VGND,li1,18.6300,32.3480,0.000032
TAP_TAPCELL_ROW_6_19,VGND,li1,18.6300,27.4910,0.000029
TAP_TAPCELL_ROW_4_18,VGND,li1,18.6300,22.0510,0.000035
TAP_TAPCELL_ROW_2_17,VGND,li1,18.6300,16.6110,0.000031
TAP_TAPCELL_ROW_0_16,VGND,li1,18.6300,11.1710,0.000006
PHY_EDGE_ROW_7_Left_15,VGND,li1,6.2100,32.6400,0.000035
PHY_EDGE_ROW_6_Left_14,VGND,li1,6.2100,27.2000,0.000036
PHY_EDGE_ROW_5_Left_13,VGND,li1,6.2100,27.2000,0.000036
PHY_EDGE_ROW_4_Left_12,VGND,li1,6.2100,21.7600,0.000038
PHY_EDGE_ROW_3_Left_11,VGND,li1,6.2100,21.7600,0.000038
PHY_EDGE_ROW_2_Left_10,VGND,li1,6.2100,16.3200,0.000034
PHY_EDGE_ROW_1_Left_9,VGND,li1,6.2100,16.3200,0.000034
PHY_EDGE_ROW_0_Left_8,VGND,li1,6.2100,10.8800,0.000006
PHY_EDGE_ROW_7_Right_7,VGND,li1,28.7500,32.6400,0.000031
PHY_EDGE_ROW_6_Right_6,VGND,li1,28.7500,27.2000,0.000020
PHY_EDGE_ROW_5_Right_5,VGND,li1,28.7500,27.2000,0.000020
PHY_EDGE_ROW_4_Right_4,VGND,li1,28.7500,21.7600,0.000033
PHY_EDGE_ROW_3_Right_3,VGND,li1,28.7500,21.7600,0.000033
PHY_EDGE_ROW_2_Right_2,VGND,li1,28.7500,16.3200,0.000026
PHY_EDGE_ROW_1_Right_1,VGND,li1,28.7500,16.3200,0.000026
PHY_EDGE_ROW_0_Right_0,VGND,li1,28.7500,10.8800,0.000006
_49_,VGND,li1,10.5800,27.2000,0.000036
_48_,VGND,li1,24.3800,16.3200,0.000025
_47_,VGND,li1,22.5400,16.3200,0.000028
_46_,VGND,li1,24.3800,27.2000,0.000024
_45_,VGND,li1,13.1100,27.2000,0.000034
_44_,VGND,li1,8.5100,21.7600,0.000038
_43_,VGND,li1,11.2700,21.7600,0.000038
_42_,VGND,li1,12.6500,21.7600,0.000038
_41_,VGND,li1,10.1200,21.7600,0.000038
_40_,VGND,li1,15.6400,16.3200,0.000033
_39_,VGND,li1,17.4800,16.3200,0.000032
_38_,VGND,li1,16.3300,16.3200,0.000032
_37_,VGND,li1,14.0300,16.3200,0.000033
_36_,VGND,li1,10.5800,16.3200,0.000034
_35_,VGND,li1,19.3200,16.3200,0.000031
_34_,VGND,li1,16.3300,27.2000,0.000031
_33_,VGND,li1,19.3200,27.2000,0.000029
_32_,VGND,li1,14.4900,21.7600,0.000037
_31_,VGND,li1,12.1900,16.3200,0.000034
_30_,VGND,li1,12.6500,16.3200,0.000034
_29_,VGND,li1,9.8900,16.3200,0.000034
_28_,VGND,li1,21.1600,27.2000,0.000026
_27_,VGND,li1,23.0000,27.2000,0.000024
_26_,VGND,li1,14.0300,21.7600,0.000038
_25_,VGND,li1,8.0500,21.7600,0.000038
_24_,VGND,li1,17.2500,21.7600,0.000036
_23_,VGND,li1,15.4100,21.7600,0.000037
