Metric,Value
design__instance__count,71
design__instance__area,460.442
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 43.495 54.215
design__core__bbox,5.52 10.88 37.72 40.8
design__io,16
design__die__area,2358.08
design__core__area,963.424
design__instance__count__stdcell,71
design__instance__area__stdcell,460.442
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.477922
design__instance__utilization__stdcell,0.477922
design__instance__count__class:multi_input_combinational_cell,55
flow__warnings__count,14
flow__errors__count,0
floorplan__design__io,16
design__io__hpwl,350278
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,799.082
design__violations,0
design__instance__count__class:timing_repair_buffer,16
antenna__violating__nets,0
antenna__violating__pins,0
route__net,79
route__net__special,2
route__drc_errors__iter:1,13
route__wirelength__iter:1,802
route__drc_errors__iter:2,6
route__wirelength__iter:2,804
route__drc_errors__iter:3,6
route__wirelength__iter:3,810
route__drc_errors__iter:4,0
route__wirelength__iter:4,812
route__drc_errors,0
route__wirelength,812
route__vias,422
route__vias__singlecut,422
route__vias__multicut,0
